iter	Passed	Remaining
402	1994	2954
403	1997	2947
404	2003	2942
405	2007	2937
406	2011	2931
407	2015	2924
408	2020	2919
409	2025	2914
410	2028	2907
411	2033	2902
412	2038	2897
413	2042	2890
414	2046	2884
415	2050	2878
416	2054	2872
417	2058	2865
418	2061	2859
419	2066	2853
420	2070	2847
421	2073	2840
422	2077	2834
423	2082	2828
424	2085	2821
425	2089	2815
426	2094	2810
427	2100	2806
428	2105	2802
429	2110	2797
430	2115	2792
431	2120	2787
432	2123	2780
433	2128	2775
434	2133	2771
435	2137	2765
436	2141	2758
437	2145	2752
438	2149	2746
439	2152	2739
440	2157	2734
441	2161	2728
442	2165	2723
443	2169	2717
444	2173	2710
445	2177	2704
446	2181	2699
447	2185	2692
448	2188	2686
449	2194	2682
450	2199	2676
451	2202	2670
452	2207	2665
453	2213	2662
454	2218	2656
455	2222	2650
456	2226	2645
457	2230	2640
458	2234	2633
459	2237	2627
460	2243	2622
461	2247	2617
462	2251	2611
463	2255	2605
464	2261	2601
465	2265	2595
466	2268	2589
467	2272	2583
468	2278	2580
469	2283	2574
470	2286	2568
471	2291	2563
472	2295	2557
473	2299	2551
474	2303	2545
475	2307	2540
476	2312	2535
477	2316	2529
478	2320	2523
479	2325	2519
480	2329	2513
481	2332	2507
482	2336	2500
483	2387	2545
484	2398	2547
485	2404	2542
486	2412	2540
487	2422	2541
488	2425	2534
489	2430	2529
490	2434	2523
491	2439	2518
492	2443	2512
493	2446	2506
494	2450	2499
495	2455	2494
496	2460	2490
497	2464	2483
498	2467	2477
499	2473	2473
500	2477	2468
501	2481	2461
502	2486	2456
503	2491	2451
504	2494	2445
505	2498	2439
506	2503	2433
507	2506	2428
508	2510	2421
509	2514	2415
510	2519	2410
511	2523	2405
512	2527	2399
513	2531	2393
514	2536	2388
515	2539	2382
516	2543	2376
517	2546	2369
518	2551	2364
519	2555	2358
520	2558	2352
521	2562	2346
522	2566	2340
523	2570	2335
524	2574	2329
525	2577	2323
526	2582	2317
527	2587	2312
528	2591	2307
529	2595	2301
530	2602	2298
531	2606	2292
532	2610	2287
533	2615	2282
534	2619	2276
535	2622	2270
536	2626	2264
537	2630	2258
538	2635	2253
539	2639	2248
540	2642	2241
541	2646	2236
542	2650	2230
543	2654	2224
544	2657	2218
545	2661	2212
546	2665	2207
547	2669	2201
548	2672	2195
549	2676	2189
550	2680	2184
551	2683	2178
552	2687	2172
553	2690	2166
554	2695	2160
555	2698	2155
556	2702	2149
557	2705	2143
558	2709	2137
559	2714	2132
560	2717	2126
561	2721	2121
562	2725	2115
563	2729	2110
564	2734	2104
565	2737	2099
566	2741	2093
567	2746	2089
568	2750	2083
569	2753	2077
570	2757	2072
571	2762	2067
572	2766	2061
573	2769	2055
574	2772	2049
575	2776	2043
576	2780	2038
577	2783	2032
578	2787	2026
579	2791	2021
580	2795	2015
581	2798	2010
582	2802	2004
583	2806	1998
584	2810	1994
585	2814	1988
586	2818	1982
587	2822	1977
588	2826	1972
589	2830	1967
590	2834	1961
591	2837	1955
592	2842	1950
593	2845	1945
594	2849	1939
595	2854	1935
596	2858	1929
597	2863	1925
598	2869	1921
599	2875	1916
600	2881	1912
601	2887	1908
602	2893	1904
603	2899	1900
604	2905	1897
605	2911	1892
606	2917	1888
607	2923	1885
608	2929	1880
609	2937	1878
610	2942	1873
611	2948	1869
612	2953	1864
613	2957	1859
614	2961	1853
615	2966	1849
616	2970	1844
617	2974	1838
618	2978	1833
619	2983	1828
620	2987	1823
621	2990	1817
622	2995	1812
623	3000	1807
624	3003	1802
625	3007	1796
626	3011	1791
627	3014	1785
628	3017	1779
629	3021	1774
630	3024	1768
631	3028	1763
632	3033	1758
633	3036	1753
634	3040	1747
635	3044	1742
636	3048	1737
637	3052	1731
638	3055	1726
639	3059	1720
640	3063	1715
641	3067	1710
642	3070	1704
643	3074	1699
644	3079	1695
645	3083	1689
646	3087	1684
647	3092	1679
648	3096	1674
649	3100	1669
650	3104	1664
651	3107	1658
652	3111	1653
653	3115	1648
654	3118	1642
655	3122	1637
656	3126	1632
657	3131	1627
658	3134	1622
659	3139	1617
660	3143	1612
661	3147	1606
662	3150	1601
663	3154	1596
664	3158	1591
665	3162	1585
666	3165	1580
667	3169	1575
668	3173	1569
669	3177	1564
670	3180	1559
671	3184	1554
672	3187	1548
673	3192	1543
674	3195	1538
675	3199	1533
676	3202	1528
677	3206	1522
678	3210	1517
679	3213	1512
680	3217	1507
681	3221	1502
682	3225	1496
683	3228	1491
684	3232	1486
685	3235	1481
686	3240	1476
687	3245	1471
688	3248	1466
689	3252	1461
690	3256	1456
691	3260	1451
692	3263	1445
693	3267	1440
694	3271	1435
695	3275	1430
696	3279	1425
697	3282	1420
698	3286	1415
699	3290	1410
700	3293	1404
701	3297	1399
702	3300	1394
703	3305	1389
704	3308	1384
705	3312	1379
706	3316	1374
707	3320	1369
708	3323	1364
709	3327	1359
710	3331	1354
711	3335	1349
712	3340	1344
713	3344	1339
714	3347	1334
715	3351	1329
716	3356	1324
717	3360	1319
718	3363	1314
719	3367	1309
720	3371	1304
721	3375	1299
722	3379	1294
723	3384	1290
724	3389	1285
725	3393	1280
726	3398	1276
727	3402	1271
728	3406	1266
729	3410	1261
730	3414	1256
731	3418	1251
732	3422	1246
733	3426	1241
734	3430	1236
735	3435	1232
736	3438	1227
737	3442	1222
738	3446	1217
739	3449	1212
740	3453	1206
741	3456	1201
742	3459	1196
743	3463	1191
744	3466	1186
745	3469	1181
746	3473	1176
747	3477	1171
748	3481	1166
749	3484	1161
750	3488	1156
751	3492	1151
752	3496	1146
753	3499	1141
754	3503	1136
755	3507	1131
756	3510	1126
757	3514	1122
758	3518	1117
759	3522	1112
760	3526	1107
761	3530	1102
762	3534	1097
763	3537	1092
764	3541	1087
765	3545	1082
766	3550	1078
767	3553	1073
768	3557	1068
769	3560	1063
770	3565	1058
771	3568	1054
772	3572	1049
773	3575	1044
774	3580	1039
775	3583	1034
776	3587	1029
777	3590	1024
778	3595	1019
779	3598	1015
780	3602	1010
781	3606	1005
782	3610	1000
783	3614	995
784	3617	990
785	3621	985
786	3625	981
787	3629	976
788	3633	971
789	3637	966
790	3640	962
791	3645	957
792	3649	952
793	3653	947
794	3657	943
795	3661	938
796	3665	933
797	3668	928
798	3671	923
799	3675	918
800	3678	913
801	3682	909
802	3685	904
803	3690	899
804	3694	894
805	3697	890
806	3701	885
807	3705	880
808	3709	875
809	3712	870
810	3716	866
811	3720	861
812	3724	856
813	3728	851
814	3731	847
815	3735	842
816	3739	837
817	3744	833
818	3748	828
819	3751	823
820	3756	819
821	3760	814
822	3763	809
823	3767	804
824	3773	800
825	3777	795
826	3780	790
827	3784	786
828	3788	781
829	3792	776
830	3796	772
831	3800	767
832	3804	762
833	3807	757
834	3811	753
835	3814	748
836	3818	743
837	3822	738
838	3825	734
839	3829	729
840	3833	724
841	3837	720
842	3841	715
843	3844	710
844	3848	705
845	3852	701
846	3857	696
847	3861	692
848	3864	687
849	3869	682
850	3873	678
851	3876	673
852	3880	668
853	3884	664
854	3888	659
855	3891	654
856	3895	649
857	3899	645
858	3903	640
859	3906	636
860	3910	631
861	3915	626
862	3919	622
863	3923	617
864	3927	612
865	3932	608
866	3936	603
867	3940	599
868	3944	594
869	3948	589
870	3952	585
871	3956	580
872	3959	576
873	3962	571
874	3967	566
875	3970	562
876	3974	557
877	3977	552
878	3981	548
879	3985	543
880	3989	538
881	3993	534
882	3997	529
883	4001	525
884	4004	520
885	4008	515
886	4011	511
887	4016	506
888	4019	501
889	4023	497
890	4026	492
891	4030	488
892	4034	483
893	4038	478
894	4042	474
895	4047	469
896	4051	465
897	4055	460
898	4059	456
899	4063	451
900	4067	446
901	4070	442
902	4074	437
903	4078	433
904	4082	428
905	4085	423
906	4089	419
907	4093	414
908	4097	410
909	4100	405
910	4104	400
911	4108	396
912	4113	391
913	4117	387
914	4121	382
915	4124	378
916	4129	373
917	4134	369
918	4138	364
919	4144	360
920	4149	355
921	4153	351
922	4158	346
923	4164	342
924	4168	338
925	4172	333
926	4177	328
927	4185	324
928	4191	320
929	4197	315
930	4203	311
931	4208	307
932	4215	302
933	4221	298
934	4227	293
935	4234	289
936	4240	285
937	4246	280
938	4253	276
939	4258	271
940	4264	267
941	4269	262
942	4274	258
943	4279	253
944	4284	249
945	4288	244
946	4294	240
947	4300	235
948	4305	231
949	4310	226
950	4314	222
951	4319	217
952	4323	213
953	4328	208
954	4333	204
955	4337	199
956	4342	195
957	4348	190
958	4353	186
959	4358	181
960	4363	177
961	4366	172
962	4370	167
963	4373	163
964	4377	158
965	4380	154
966	4383	149
967	4385	144
968	4388	140
969	4393	135
970	4396	131
971	4400	126
972	4403	122
973	4407	117
974	4411	113
975	4415	108
976	4419	104
977	4422	99
978	4426	94
979	4430	90
980	4433	85
981	4437	81
982	4442	76
983	4445	72
984	4449	67
985	4453	63
986	4456	58
987	4461	54
988	4465	49
989	4469	45
990	4474	40
991	4478	36
992	4482	31
993	4486	27
994	4491	22
995	4495	18
996	4499	13
997	4503	9
998	4507	4
999	4511	0
